Source,Target,Weight
George Bell,John Ellicot,130
George Bell,Daniel Wray,130
Philip Miller,George Parker Macclesfield,130
James Stuart,John Pringle,130
John Pringle,Thomas Birch,130
Gowin Knight,Peter Newcome,130
Hugh Willoughby,Daniel Wray,130
Charles  Feake,Samuel Squire,129
Gowin Knight,Charles  Feake,129
George Parker Macclesfield,William Watson,129
James Creed,Josiah Colebrooke,128
John Pringle,Gowin Knight,128
Alexander Aubert,Neville Maskeleyne,128
Alexander Dalrymple,William Russell,128
William Tempest,John Ellicot,128
Mark Akenside,John Ellicot,128
George Parker Macclesfield,John Ellicot,127
Alexander Aubert,James Burrow,127
George Parker Macclesfield,Samuel Squire,127
Philip Miller,Richard Roderick,127
Daniel Solander,John Walsh,127
George Bell,Nicholas Munckley,127
Daniel Solander,Joseph Banks,127
Neville Maskeleyne,Matthew Raper,126
Daniel Solander,James Stuart,126
Mark Akenside,Daniel Wray,126
Richard Roderick,George Bell,125
William Tempest,Nicholas Munckley,125
Philip Miller,Hugh Willoughby,124
Henry Cavendish,William Heberden,124
William Tempest,Daniel Wray,124
Peter Newcome,James Burrow,124
Charles  Feake,John Ellicot,124
Samuel Dyer,James Burrow,124
Samuel Horsley,James Burrow,123
Charles  Feake,James Burrow,123
Charles Morton,William Russell,122
George Parker Macclesfield,Nicholas Munckley,121
Samuel Horsley,William Russell,120
Samuel Squire,George Bell,120
Peter Daval,Nicholas Munckley,120
Joseph Planta,Henry Cavendish,119
Peter Newcome,Daniel Wray,119
Mark Akenside,Samuel Squire,119
Patrick Russell,Henry Cavendish,119
John Lewis Pettit,Josiah Colebrooke,118
George Bell,James Burrow,118
Charles Cavendish,Josiah Colebrooke,118
Edward Hooper,James Burrow,118
William Hall,Richard Roderick,118
Mark Akenside,James Burrow,117
George Parker Macclesfield,James Burrow,117
Henry Bolt Cay,William Watson,116
Samuel Clark,Gowin Knight,116
William Tempest,James Burrow,115
Henry Bolt Cay,James Burrow,115
Joseph Banks,John Pringle,115
Matthew Raper,Nicholas Munckley,115
John Walsh,William Russell,115
William Musgrave,Henry Cavendish,115
Charles  Feake,Richard Roderick,114
Samuel Horsley,Matthew Raper,114
Samuel Clark,William Watson,114
William Tempest,Richard Roderick,114
Samuel Horsley,Neville Maskeleyne,114
Matthew Raper,Thomas Birch,113
James Stuart,William Russell,112
Martin Folkes,Josiah Colebrooke,112
Samuel Dyer,Thomas Birch,112
James Postlethwaite,Thomas Birch,112
Samuel Clark,Nicholas Munckley,112
Samuel Horsley,Josiah Colebrooke,112
Joseph Planta,Daniel Solander,111
James West,Josiah Colebrooke,111
Daniel Solander,Charles Morton,110
John Lewis Pettit,Henry Cavendish,110
Charles Stanhope,William Watson,110
Edward Hooper,William Watson,108
Philip Miller,William Hall,108
John Ross,James Burrow,107
James Postlethwaite,Daniel Wray,107
Philip Miller,William Tempest,106
John Ross,William Watson,106
John Cope,Henry Cavendish,106
Martin Folkes,William Watson,106
Alexander Aubert,Samuel Horsley,106
Peter Daval,John Ellicot,106
Charles Cavendish,Thomas Birch,105
George Parker Macclesfield,Daniel Wray,105
Henry Cavendish,John Ellicot,105
James Douglas,James Burrow,105
John Pringle,William Heberden,104
Charles Stanhope,Thomas Birch,104
James Douglas,Nicholas Munckley,104
James Creed,William Watson,103
Patrick Russell,Daniel Solander,103
Henry Cavendish,Samuel Wegg,103
George Parker Macclesfield,Hugh Willoughby,103
James Creed,Thomas Birch,103
Samuel Clark,James Burrow,102
Edward Hooper,Neville Maskeleyne,102
John Pringle,Nicholas Munckley,102
Alexander Aubert,William Watson,102
Daniel Solander,Matthew Raper,101
Mark Akenside,William Hall,101
