Source,Target,Weight
Samuel Horsley,Samuel Wegg,41
Patrick Russell,Edward Hooper,41
Samuel Hemming,Alexander Dalrymple,41
John Pringle,Charles  Feake,41
John Smeaton,William Russell,41
William Musgrave,James Stuart,40
Matthew Raper,Hugh Willoughby,40
Francis Fauquier,John Ellicot,40
William Mann Godschal,William Watson,40
John Cuthbert,Charles Morton,40
Anthony Shepherd,Henry Cavendish,40
William Heberden,Hugh Willoughby,40
Charles Blagden,Henry Cavendish,40
Samuel Horsley,John Lewis Pettit,40
Robert Watson,John Ellicot,40
William Heberden,James Creed,40
George  Graham,Martin Folkes,40
Charles Morton,Joseph Ayloffe,40
John Clephane,Charles  Feake,40
Richard Huck Saunders,Samuel Squire,40
John Cope,Edward Hooper,40
Samuel Chandler,Josiah Colebrooke,40
Henry Cavendish,Robert Barker,40
Joseph Banks,Josiah Colebrooke,40
Samuel Hemming,Neville Maskeleyne,40
John Clephane,George Bell,39
Francis Fauquier,Daniel Wray,39
Charles Stanhope,James Creed,39
Charles  Feake,James Gibbs,39
Taylor White,Josiah Colebrooke,39
Alexander Aubert,John Cope,39
Joseph Planta,James Stuart,39
Charleton Wollaston,William Hall,39
Paul Whichcote,William Watson,39
Taylor White,Thomas Birch,39
George Baker,William Russell,39
John Lewis Pettit,John Ellicot,39
Charles Morton,James West,39
George Baker,Daniel Wray,39
Daniel Solander,Richard Kaye,39
Charles Stanhope,Peter Newcome,39
James Creed,James Postlethwaite,39
John Pringle,Charles Cavendish,39
William Musgrave,Charles Morton,39
Charleton Wollaston,George Parker Macclesfield,39
John Cuthbert,Neville Maskeleyne,39
John Clephane,Mark Akenside,39
Charles Cavendish,James Postlethwaite,39
Joseph Ayloffe,William Watson,38
John Smeaton,Josiah Colebrooke,38
Patrick Russell,Matthew Raper,38
Richard Huck Saunders,Hugh Willoughby,38
Paul Whichcote,Daniel Wray,38
John Smeaton,John Pringle,38
Matthew Maty,William Watson,38
George Lloyd,William Watson,38
William Musgrave,Patrick Russell,38
Daniel Solander,Robert Barker,38
Robert Moore,Thomas Birch,38
William Musgrave,John Walsh,38
Peter Daval,Charles Stanhope,38
Robert Moore,Gowin Knight,38
Matthew Raper,William Heberden,38
Michael Lort,John Pringle,38
Matthew Raper,Samuel Squire,38
George Parker Macclesfield,Paul Whichcote,38
Samuel Horsley,Nicholas Munckley,38
James West,John Pringle,38
James Gibbs,Daniel Wray,38
Robert Watson,Hugh Willoughby,38
James Gibbs,Nicholas Munckley,38
John Ross,Samuel Squire,37
Matthew Raper,James West,37
Henry Bolt Cay,Daniel Wray,37
John Pringle,George Bell,37
Joseph Planta,William Watson,37
Samuel Clark,William Tempest,37
William Mann Godschal,Samuel Horsley,37
Charles Cavendish,Peter Newcome,37
George  Graham,Daniel Wray,37
Charles Blagden,John Pringle,37
John Hyde,John Ellicot,37
John Clephane,William Hall,37
George Parker Macclesfield,James Creed,37
Charles Cavendish,Hugh Willoughby,37
Charles Morton,William Heberden,37
Samuel Clark,Peter Daval,37
Alex Russell,William Hall,37
John Smeaton,William Watson,36
Samuel Horsley,Daniel Wray,36
James Douglas,Hugh Willoughby,36
John Hyde,James Burrow,36
Francis Fauquier,Samuel Squire,36
Isaac Hawkins-Brown,Thomas Birch,36
Jonathan Richardson,William Watson,36
Joseph Planta,Samuel Hemming,36
John Ross,George Parker Macclesfield,36
Daines Barrington,Charles Morton,36
Hugh Hume,Thomas Birch,36
George  Graham,Thomas Birch,36
Samuel Dyer,Hugh Willoughby,36
Neville Maskeleyne,Michael Lort,36
Alexander Aubert,Samuel Wegg,36
Isaac Hawkins-Brown,Gowin Knight,36
Henry Bolt Cay,William Heberden,36
Charles Blagden,Daniel Solander,36
Wellbore Ellis,Josiah Colebrooke,36
James Gibbs,Thomas Birch,36
Joshua Iremonger,William Watson,36
John Hadley,William Hall,36
Patrick Russell,James Stuart,36
James Douglas,Gowin Knight,36
Daniel Solander,Anthony Shepherd,36
William Musgrave,Daniel Wray,36
James Gibbs,John Ellicot,36
John Clephane,Hugh Willoughby,35
Matthew Duane,Alexander Dalrymple,35
Arthur Pond,Philip Miller,35
William Tempest,John Cooksey,35
Joseph Warner,Nicholas Munckley,35
Samuel Clark,John Hadley,35
Robert Watson,William Tempest,35
Wellbore Ellis,Thomas Birch,35
James Gibbs,Martin Folkes,35
Alexander Dalrymple,William Mann Godschal,35
William Mann Godschal,Matthew Raper,35
Samuel Clark,William Hall,35
Neville Maskeleyne,John Ellicot,35
Daniel Solander,George Baker,35
Daines Barrington,Neville Maskeleyne,35
Robert Burrow,William Watson,35
Hugh Hume,Josiah Colebrooke,35
William Russell,Robert Barker,35
Joseph Warner,Thomas Birch,35
Alex Russell,Daniel Wray,35
Charles Morton,James Douglas,35
Samuel Dyer,John Hadley,35
John Ross,James Douglas,35
James West,John Ellicot,35
William Fauquier,James Burrow,35
Alexander Aubert,Josiah Colebrooke,35
John Pringle,Charles Stanhope,35
Charleton Wollaston,Richard Roderick,35
George Parker Macclesfield,William Heberden,34
Paul Whichcote,James Burrow,34
Edward Hooper,Samuel Wegg,34
George Bell,John Cooksey,34
Henry Cavendish,Peter Newcome,34
William Fauquier,Thomas Birch,34
Mark Akenside,John Cooksey,34
John Walsh,Samuel Wegg,34
William Musgrave,Samuel Horsley,34
William Hall,John Cooksey,34
Cadogan,Josiah Colebrooke,34
Henry Bolt Cay,Samuel Horsley,34
Samuel Wegg,Nicholas Munckley,34
Philip Miller,Francis Fauquier,34
William Tempest,Martin Folkes,34
John Lewis Pettit,William Russell,34
Samuel Hemming,John Pringle,34
Jonathan Richardson,Daniel Wray,34
James West,Gowin Knight,34
David Papillon,Thomas Birch,34
Daniel Solander,John Darker,33
William Dixon,Josiah Colebrooke,33
George Parker Macclesfield,James Postlethwaite,33
Daines Barrington,Samuel Horsley,33
Matthew Maty,Neville Maskeleyne,33
Martin Folkes,James Creed,33
Alexander Aubert,Michael Lort,33
Daniel Solander,John Lewis Pettit,33
Paul Whichcote,Richard Roderick,33
James Gibbs,James Burrow,33
John Cuthbert,Edward Hooper,33
William Watson,William Dixon,33
William Tempest,Paul Whichcote,33
James Gibbs,George Bell,33
Charleton Wollaston,William Heberden,33
Charles Cavendish,Peter Daval,33
Robert Moore,Samuel Squire,33
Samuel Hemming,James Burrow,33
Arthur Pond,Nicholas Munckley,33
Robert Watson,George Bell,32
James West,James Douglas,32
Peter Daval,James Creed,32
William Mann Godschal,Edward Hooper,32
Matthew Raper,Alex Russell,32
Matthew Raper,Samuel Wegg,32
William Heberden,James Gibbs,32
Neville Maskeleyne,James Douglas,32
Charles Cavendish,William Heberden,32
George Baker,Neville Maskeleyne,32
George Parker Macclesfield,John Cooksey,32
Daniel Solander,Henry Bolt Cay,32
Philip Miller,Wellbore Ellis,32
Hugh Hume,Hugh Willoughby,32
Anthony Shepherd,William Russell,32
Edward Hooper,John Smeaton,32
John Walsh,William Mann Godschal,32
George Lloyd,Thomas Birch,32
Gowin Knight,James Gibbs,32
John Darker,John Pringle,32
Joseph Warner,Gowin Knight,32
Patrick Russell,Joseph Banks,32
John Cooksey,Hugh Willoughby,32
Charleton Wollaston,Mark Akenside,32
William Dixon,Daniel Wray,32
John Lewis Pettit,Daniel Wray,32
Richard Kaye,Neville Maskeleyne,32
David Papillon,John Ellicot,32
Charles Cavendish,James Creed,32
John Darker,Neville Maskeleyne,32
William Junior Watson,William Watson,32
Philip Miller,James Douglas,31
Robert Watson,Charles  Feake,31
Charleton Wollaston,Peter Newcome,31
Edward Hooper,Joseph Ayloffe,31
John Clephane,Charles Stanhope,31
Daniel Solander,John Ross,31
Alexander Aubert,John Cuthbert,31
Richard Huck Saunders,Richard Roderick,31
Henry Cavendish,John Hadley,31
Charles Stanhope,Hugh Willoughby,31
John Clephane,Peter Newcome,31
John Hadley,Hugh Willoughby,31
Charles Morton,Gowin Knight,31
Charles Cavendish,Charles Stanhope,31
Alex Russell,James Douglas,31
Patrick Russell,Charles Morton,31
John Cuthbert,Daniel Wray,31
Matthew Duane,Neville Maskeleyne,31
David Papillon,Daniel Wray,31
Robert Watson,Charles Cavendish,31
John Walsh,Joseph Ayloffe,31
Joseph Banks,John Cope,31
George Lloyd,James Burrow,31
Patrick Russell,Samuel Hemming,31
Matthew Raper,William Hall,30
Michael Lort,James Burrow,30
Alexander Aubert,George Baker,30
Ralph Verney,Josiah Colebrooke,30
John Ross,Daniel Wray,30
John Walsh,Daines Barrington,30
Alexander Aubert,Joseph Ayloffe,30
Daines Barrington,William Watson,30
Anthony Shepherd,Neville Maskeleyne,30
Samuel Horsley,Thomas Birch,30
Robert Burrow,Charles Morton,30
Joseph Warner,William Watson,30
Charleton Wollaston,Hugh Willoughby,30
Samuel Chandler,Nicholas Munckley,30
William Junior Watson,Neville Maskeleyne,30
John Cope,John Smeaton,30
Wellbore Ellis,Richard Roderick,30
Charles  Feake,John Cooksey,30
Matthew Maty,Nicholas Munckley,30
Wellbore Ellis,Gowin Knight,30
Francis Fauquier,William Hall,30
Joseph Planta,Michael Lort,30
Richard Huck Saunders,Daniel Wray,30
John Walsh,John Cope,30
Edward Hooper,John Lewis Pettit,30
Daniel Solander,John Cuthbert,30
Isaac Hawkins-Brown,William Watson,30
Peter Newcome,John Cooksey,30
Richard Kaye,William Watson,29
Robert Watson,James Postlethwaite,29
Edward Hooper,Michael Lort,29
Samuel Chandler,William Watson,29
Samuel Squire,Jonathan Richardson,29
Henry Cavendish,Philip Miller,29
Philip Miller,Robert Moore,29
Neville Maskeleyne,Robert Barker,29
John Clephane,George Parker Macclesfield,29
Samuel Clark,Alex Russell,29
Samuel Clark,Mark Akenside,29
Joshua Iremonger,Thomas Birch,29
Robert Watson,William Hall,29
James Stuart,Samuel Wegg,29
William Mann Godschal,Josiah Colebrooke,29
George Lloyd,Daniel Wray,29
John Walsh,John Ross,29
George  Graham,Nicholas Munckley,29
Matthew Maty,John Pringle,29
Joseph Planta,Matthew Raper,29
Robert Moore,George Parker Macclesfield,29
John Darker,William Russell,29
Joseph Planta,Charles Morton,29
Alexander Dalrymple,Michael Lort,28
Robert Moore,John Ellicot,28
William Russell,John Ross,28
George Baker,Nicholas Munckley,28
Richard Huck Saunders,William Tempest,28
George  Graham,Charles  Feake,28
William Fauquier,Nicholas Munckley,28
Samuel Horsley,John Smeaton,28
Samuel Horsley,James Douglas,28
Edward Hooper,John Ross,28
Robert Watson,Peter Newcome,28
James Gibbs,Hugh Willoughby,28
Thomas Astle,John Pringle,28
James Douglas,John Pringle,28
Alex Russell,William Heberden,28
Samuel Dyer,Mark Akenside,28
Charleton Wollaston,George Bell,28
Arthur Pond,Daniel Wray,28
Samuel Hemming,Edward Hooper,28
Hugh Hume,Philip Miller,28
Francis Fauquier,Mark Akenside,28
Samuel Horsley,Samuel Dyer,28
George Lloyd,Nicholas Munckley,28
Philip Miller,Joseph Warner,28
David Papillon,Nicholas Munckley,28
Matthew Raper,Peter Newcome,28
Francis Fauquier,William Heberden,28
Richard Huck Saunders,Mark Akenside,28
Hugh Hume,Gowin Knight,28
Richard Huck Saunders,George Parker Macclesfield,28
Isaac Hawkins-Brown,Philip Miller,28
David Papillon,Richard Roderick,28
Alexander Aubert,John Lewis Pettit,28
Richard Kaye,Josiah Colebrooke,27
John Cope,Joseph Ayloffe,27
William Mann Godschal,Charles Morton,27
William Junior Watson,John Pringle,27
Joseph Banks,Samuel Wegg,27
Patrick Russell,William Mann Godschal,27
Gowin Knight,Jonathan Richardson,27
Samuel Dyer,Alex Russell,27
Alexander Aubert,Richard Kaye,27
Neville Maskeleyne,Gowin Knight,27
Samuel Clark,George Bell,27
Joseph Warner,James Burrow,27
Francis Fauquier,Hugh Willoughby,27
David Papillon,James Burrow,27
Samuel Wegg,William Heberden,27
George Parker Macclesfield,Charles Stanhope,27
William Fauquier,John Ellicot,27
John Darker,Samuel Horsley,27
John Pringle,Peter Daval,27
Isaac Hawkins-Brown,Nicholas Munckley,27
Henry Bolt Cay,Samuel Clark,27
John Lewis Pettit,Gowin Knight,27
Daniel Solander,Daines Barrington,27
Gowin Knight,George  Graham,27
George Baker,Edward Hooper,27
Henry Bolt Cay,James West,27
William Roy,Henry Cavendish,27
Alexander Dalrymple,Josiah Colebrooke,27
John Cooksey,James Postlethwaite,27
Charles Blagden,James Burrow,27
John Pringle,Peter Newcome,27
Isaac Hawkins-Brown,Daniel Wray,27
John Darker,James Burrow,27
Mark Akenside,Paul Whichcote,27
Daines Barrington,Joseph Ayloffe,27
Wellbore Ellis,William Watson,27
William Tempest,James Gibbs,27
George  Graham,John Ellicot,27
John Cuthbert,Matthew Raper,27
Charles Blagden,Joseph Banks,27
Joseph Planta,Daniel Wray,27
Jonathan Richardson,Thomas Birch,27
Matthew Raper,Mark Akenside,26
John Clephane,Peter Daval,26
Thomas Astle,Neville Maskeleyne,26
Samuel Dyer,Peter Newcome,26
Alexander Dalrymple,Anthony Shepherd,26
James Creed,Peter Newcome,26
James West,John Ross,26
John Cope,James Stuart,26
Daniel Solander,William Heberden,26
John Cope,Matthew Raper,26
Charles Blagden,William Russell,26
William Musgrave,William Mann Godschal,26
Patrick Russell,Michael Lort,26
John Lewis Pettit,John Ross,26
John Cuthbert,Samuel Horsley,26
William Roy,John Pringle,26
Richard Graham,Josiah Colebrooke,26
John Cope,Henry Bolt Cay,26
William Fauquier,Gowin Knight,26
David Papillon,Samuel Squire,26
George Lloyd,John Ellicot,26
John Darker,Josiah Colebrooke,26
John Pringle,James Postlethwaite,26
Daniel Solander,Robert Burrow,26
William Junior Watson,Josiah Colebrooke,26
Taylor White,Gowin Knight,26
Thomas Astle,Josiah Colebrooke,26
Richard Huck Saunders,William Hall,26
Anthony Shepherd,James Burrow,26
Taylor White,William Watson,26
John Hadley,Peter Newcome,26
William Roy,Daniel Solander,26
Samuel Horsley,John Ellicot,26
Joseph Planta,Anthony Shepherd,26
George Baker,Matthew Raper,26
William Junior Watson,William Russell,26
Charles  Feake,Jonathan Richardson,26
James Douglas,Peter Newcome,26
Jonathan Richardson,James Burrow,26
John Hadley,William Heberden,26
James West,William Hall,26
Robert Moore,Nicholas Munckley,26
William Hall,James Gibbs,25
Daniel Solander,William Junior Watson,25
Alexander Dalrymple,Robert Barker,25
Francis Fauquier,Charles  Feake,25
Daniel Solander,Thomas Astle,25
Robert Moore,William Watson,25
John Lewis Pettit,Samuel Clark,25
Samuel Clark,John Pringle,25
Ralph Verney,Nicholas Munckley,25
Neville Maskeleyne,William Hall,25
James Stuart,Michael Lort,25
Daines Barrington,Matthew Raper,25
George Lloyd,Richard Roderick,25
Alexander Aubert,Henry Bolt Cay,25
Matthew Raper,Joseph Ayloffe,25
Samuel Hemming,Samuel Horsley,25
Samuel Wegg,Joseph Ayloffe,25
Henry Cavendish,Hugh Willoughby,25
Taylor White,James Burrow,25
Francis Fauquier,Richard Roderick,25
George Lewis Scott,Josiah Colebrooke,25
James Stuart,Joseph Ayloffe,25
David Papillon,Gowin Knight,25
Alex Russell,George Parker Macclesfield,25
Robert Moore,Hugh Willoughby,25
Charles  Feake,William Dixon,25
George Baker,James Stuart,25
Alexander Dalrymple,Samuel Wegg,25
Wellbore Ellis,Nicholas Munckley,25
Wellbore Ellis,Mark Akenside,25
John Pringle,James Creed,25
William Musgrave,Samuel Hemming,25
Samuel Clark,William Heberden,25
Joseph Warner,John Ellicot,25
Jonathan Richardson,John Ellicot,25
James Gibbs,Richard Roderick,25
David Papillon,George Bell,25
John Lewis Pettit,James West,25
George Lloyd,Gowin Knight,25
Matthew Duane,James Burrow,25
Hugh Hume,James Burrow,25
William Heberden,John Cooksey,25
Henry Bolt Cay,Gowin Knight,25
John Turton,Henry Cavendish,25
Richard Kaye,Samuel Horsley,25
Daines Barrington,Edward Hooper,25
Hugh Hume,Samuel Squire,25
William Musgrave,Joseph Banks,25
Robert Burrow,Neville Maskeleyne,25
Wellbore Ellis,John Ellicot,25
Taylor White,John Ellicot,25
Alex Russell,Philip Miller,25
Jonathan Richardson,George Bell,25
William Fauquier,Daniel Wray,24
Samuel Mead,Josiah Colebrooke,24
Samuel Clark,Richard Huck Saunders,24
Martin Folkes,William Dixon,24
William Musgrave,Michael Lort,24
Henry Cavendish,Charles Cavendish,24
William Dixon,Nicholas Munckley,24
Henry Cavendish,John Hyde,24
George Baker,Samuel Horsley,24
George  Graham,James Burrow,24
Francis Fauquier,George Parker Macclesfield,24
Robert Burrow,John Pringle,24
John Clephane,William Heberden,24
John Clephane,Charles Cavendish,24
Matthew Duane,John Pringle,24
Robert Moore,William Tempest,24
Matthew Maty,Matthew Raper,24
Matthew Maty,William Russell,24
George Lewis Scott,William Watson,24
Richard Kaye,William Russell,24
Thomas Astle,Charles Morton,24
Michael Lort,William Watson,24
Hugh Hume,George Parker Macclesfield,24
Anthony Shepherd,Edward Hooper,24
Robert Watson,Paul Whichcote,24
Charles Stanhope,John Cooksey,24
William Musgrave,Matthew Duane,24
Arthur Pond,James Burrow,24
Matthew Maty,James Douglas,24
Matthew Maty,Daniel Wray,24
William Battie,Josiah Colebrooke,24
George  Graham,Samuel Squire,24
Henry Bolt Cay,John Ross,24
Samuel Chandler,John Ellicot,24
John Cope,John Ross,24
Samuel Clark,Paul Whichcote,24
Cadogan,Thomas Birch,24
John Walsh,Richard Kaye,24
Arthur Pond,John Ellicot,24
Wellbore Ellis,James Burrow,24
James Gibbs,James Postlethwaite,24
Alexander Aubert,John Smeaton,24
Joseph Planta,Matthew Duane,24
John Hadley,Daniel Wray,24
Alexander Aubert,Matthew Duane,24
Wellbore Ellis,George Parker Macclesfield,24
Samuel Dyer,George Parker Macclesfield,24
Matthew Duane,William Watson,24
Charleton Wollaston,John Pringle,24
John Walsh,Michael Lort,24
John Ross,William Hall,24
Peter Daval,John Cooksey,24
John Lewis Pettit,William Heberden,24
Jonathan Richardson,Nicholas Munckley,23
Matthew Raper,William Tempest,23
Paul Whichcote,Peter Newcome,23
Matthew Maty,Samuel Horsley,23
John Clephane,Martin Folkes,23
George Baker,William Heberden,23
Joseph Planta,William Mann Godschal,23
George  Graham,Charles Stanhope,23
Francis Fauquier,Charles Stanhope,23
Samuel Dyer,Samuel Wegg,23
Charleton Wollaston,Charles  Feake,23
Wellbore Ellis,Samuel Squire,23
William Junior Watson,James Burrow,23
Alexander Aubert,Anthony Shepherd,23
Samuel Clark,Robert Moore,23
John Walsh,John Smeaton,23
Wellbore Ellis,William Tempest,23
William Dixon,Thomas Birch,23
Isaac Hawkins-Brown,Samuel Squire,23
Jeremy Dyson,Josiah Colebrooke,23
Samuel Dyer,John Hyde,23
Hugh Hume,Nicholas Munckley,23
Daniel Solander,Matthew Maty,23
Anthony Shepherd,John Pringle,23
John Clephane,John Cooksey,23
Samuel Chandler,James Burrow,23
Patrick Russell,Daniel Wray,23
George Baker,Henry Bolt Cay,23
Francis Fauquier,Martin Folkes,23
Samuel Hemming,William Watson,23
Alex Russell,John Ross,23
Matthew Maty,Samuel Dyer,23
Samuel Clark,Charleton Wollaston,23
John Lewis Pettit,Samuel Wegg,23
Philip Miller,George Lloyd,23
George Lloyd,Samuel Squire,23
John Walsh,John Darker,23
Joseph Planta,Robert Barker,23
David Papillon,Charles  Feake,23
Joshua Iremonger,Nicholas Munckley,23
Henry Cavendish,Joshua Iremonger,23
John Hyde,William Hall,23
Alexander Dalrymple,William Heberden,23
Taylor White,Nicholas Munckley,23
William Musgrave,Matthew Raper,23
Joseph Warner,Samuel Squire,22
Francis Fauquier,Peter Daval,22
John Cope,John Lewis Pettit,22
David Papillon,William Hall,22
William Watson,Richard Graham,22
John Clephane,James Creed,22
Isaac Hawkins-Brown,William Hall,22
Daines Barrington,John Cope,22
Daines Barrington,John Ross,22
Charles Morton,Samuel Clark,22
Richard Roderick,Jonathan Richardson,22
Robert Watson,John Pringle,22
James Gibbs,Charles Stanhope,22
Henry Bolt Cay,Samuel Wegg,22
Francis Fauquier,George Bell,22
Samuel Wegg,Thomas Birch,22
John Hadley,Peter Daval,22
George  Graham,Peter Daval,22
John Lewis Pettit,William Hall,22
Martin Folkes,George Lewis Scott,22
Thomas Astle,William Russell,22
John Lewis Pettit,John Hadley,22
Matthew Raper,John Hyde,22
James Douglas,William Heberden,22
Martin Folkes,Jonathan Richardson,22
Samuel Dyer,Francis Fauquier,22
John Cope,James West,22
John Walsh,George Baker,22
Matthew Maty,John Ellicot,22
John Hadley,Samuel Squire,22
Robert Burrow,Nicholas Munckley,21
William Battie,William Watson,21
Robert Moore,Daniel Wray,21
Samuel Wegg,John Ross,21
Taylor White,George Parker Macclesfield,21
Alexander Dalrymple,John Smeaton,21
Taylor White,Hugh Willoughby,21
Taylor White,Samuel Squire,21
Alex Russell,John Pringle,21
Robert Watson,John Cooksey,21
Taylor White,Philip Miller,21
Lewis Crusius,William Watson,21
Lewis Crusius,Josiah Colebrooke,21
Isaac Hawkins-Brown,James Burrow,21
Arthur Pond,William Watson,21
Joseph Planta,Joseph Banks,21
Samuel Clark,John Hyde,21
Thomas Wood,Josiah Colebrooke,21
Wellbore Ellis,George Bell,21
John Clephane,John Pringle,21
Alexander Aubert,Robert Burrow,21
Samuel Horsley,Michael Lort,21
Richard Kaye,Joseph Banks,21
Matthew Duane,Edward Hooper,21
William Fauquier,William Hall,21
Matthew Raper,John Hadley,21
Philip Miller,Joshua Iremonger,21
William Hall,George  Graham,21
Thomas Astle,Joseph Ayloffe,21
Samuel Hemming,James Stuart,21
James Gibbs,Peter Newcome,21
William Mann Godschal,James Stuart,21
Joshua Iremonger,John Ellicot,21
Richard Huck Saunders,Peter Newcome,21
Francis Fauquier,Peter Newcome,21
William Mann Godschal,Daniel Wray,21
Robert Watson,James Creed,20
John Cope,Samuel Wegg,20
Isaac Hawkins-Brown,Mark Akenside,20
James Creed,John Cooksey,20
Hugh Hume,William Watson,20
Matthew Duane,James Stuart,20
Matthew Raper,Charleton Wollaston,20
David Papillon,Martin Folkes,20
Paul Whichcote,Peter Daval,20
John Hyde,Philip Miller,20
Daines Barrington,William Russell,20
Thomas Astle,Samuel Horsley,20
Samuel Mead,Thomas Birch,20
William Heberden,George  Graham,20
Michael Lort,Daniel Wray,20
George  Graham,George Bell,20
Matthew Duane,Charles Morton,20
Patrick Russell,John Cope,20
James West,Joseph Ayloffe,20
John Ross,Peter Daval,20
Richard Kaye,James Stuart,20
Arthur Pond,Samuel Squire,20
William Junior Watson,Samuel Horsley,20
Robert Watson,Peter Daval,20
Thomas Wood,Thomas Birch,20
George Lewis Scott,Daniel Wray,20
John Mitchel,Josiah Colebrooke,20
John Darker,Edward Hooper,20
Henry Cavendish,Samuel Chandler,20
Charleton Wollaston,Charles Stanhope,20
Samuel Horsley,Robert Burrow,20
George Baker,Samuel Wegg,20
Joseph Planta,Samuel Wegg,20
Samuel Chandler,Samuel Clark,20
David Papillon,Hugh Willoughby,20
George Baker,John Lewis Pettit,20
Charles Morton,John Smeaton,20
Richard Kaye,Edward Hooper,20
Henry Cavendish,George Parker Macclesfield,20
Charles Morton,Michael Lort,20
George Lewis Scott,James Burrow,19
Ralph Verney,William Watson,19
Alexander Aubert,Matthew Maty,19
David Papillon,William Heberden,19
George  Graham,Peter Newcome,19
James Stuart,John Ross,19
William Roy,Joseph Banks,19
Richard Kaye,Alexander Dalrymple,19
James Stuart,John Lewis Pettit,19
George Baker,Samuel Dyer,19
Cadogan,James Burrow,19
Samuel Chandler,Gowin Knight,19
James Douglas,George Parker Macclesfield,19
William Battie,Daniel Wray,19
Wellbore Ellis,Daniel Wray,19
John Darker,Charles Morton,19
Robert Watson,Charles Stanhope,19
John Cope,Nicholas Munckley,19
Samuel Mead,Nicholas Munckley,19
John Pringle,John Cooksey,19
John Walsh,Thomas Astle,19
Charles Morton,William Hall,19
John Hyde,John Hadley,19
John Ross,Joseph Ayloffe,19
Charles  Feake,Richard Graham,19
Henry Cavendish,Richard Huck Saunders,19
Thomas Astle,William Watson,19
Samuel Hemming,John Walsh,19
Richard Graham,Nicholas Munckley,19
Joseph Planta,John Smeaton,19
Charleton Wollaston,Peter Daval,19
John Cope,Samuel Dyer,19
Patrick Russell,Robert Barker,19
Neville Maskeleyne,Samuel Clark,19
Samuel Clark,Hugh Hume,19
Cadogan,Gowin Knight,19
Samuel Horsley,William Heberden,19
Charles Blagden,Alexander Aubert,19
John Lewis Pettit,Hugh Willoughby,19
Robert Watson,Wellbore Ellis,19
Samuel Wegg,John Ellicot,19
Samuel Squire,George Lewis Scott,19
Robert Watson,John Clephane,19
John Hyde,Daniel Wray,19
Joseph Warner,Hugh Willoughby,19
Jeremy Dyson,William Watson,19
William Junior Watson,Matthew Raper,19
Patrick Russell,Matthew Duane,19
William Tempest,Jonathan Richardson,19
Samuel Mead,William Watson,19
Joseph Planta,John Lewis Pettit,18
John Turton,William Watson,18
Martin Folkes,Benjamin Robins,18
Paul Whichcote,George Bell,18
Ralph Verney,Thomas Birch,18
Samuel Clark,Francis Fauquier,18
Alexander Aubert,John Ross,18
Charleton Wollaston,Charles Cavendish,18
George Lewis Scott,Nicholas Munckley,18
John Darker,Matthew Raper,18
Anthony Shepherd,Samuel Horsley,18
John Turton,John Pringle,18
Taylor White,Richard Roderick,18
Alex Russell,Hugh Willoughby,18
Patrick Russell,Anthony Shepherd,18
James West,Charles Cavendish,18
Alexander Aubert,William Heberden,18
Charles Morton,Alex Russell,18
Arthur Pond,William Heberden,18
Matthew Maty,Edward Hooper,18
Alexander Dalrymple,John Cope,18
Richard Huck Saunders,James Postlethwaite,18
Taylor White,Daniel Wray,18
Daines Barrington,James West,18
John Mitchel,William Watson,18
Cadogan,William Watson,18
Jeremy Dyson,Richard Roderick,18
William Dixon,James Burrow,18
Jeremy Dyson,Nicholas Munckley,18
Robert Burrow,William Russell,18
John Darker,John Cope,18
Samuel Chandler,William Hall,18
William Dixon,John Ellicot,18
Jonathan Richardson,James Postlethwaite,18
Charles Blagden,Neville Maskeleyne,18
Charles Blagden,Matthew Raper,18
Samuel Chandler,Hugh Willoughby,18
Hugh Hume,John Ellicot,18
Paul Whichcote,William Hall,18
Matthew Maty,John Ross,18
Benjamin Robins,Josiah Colebrooke,18
Samuel Squire,William Dixon,18
Daines Barrington,James Stuart,18
Edward Hooper,William Heberden,18
Samuel Dyer,Charleton Wollaston,18
Charles Blagden,William Watson,18
Henry Bolt Cay,Joseph Ayloffe,18
Ralph Verney,Henry Cavendish,18
Joseph Banks,William Mann Godschal,18
James West,George Parker Macclesfield,18
John Hyde,William Heberden,18
Arthur Pond,William Hall,18
William Mann Godschal,John Smeaton,18
Isaac Hawkins-Brown,George Parker Macclesfield,18
Benjamin Robins,William Watson,18
John Hadley,George Parker Macclesfield,18
Daines Barrington,Samuel Wegg,18
Isaac Hawkins-Brown,John Ellicot,18
Joseph Warner,Daniel Wray,18
John Walsh,Henry Bolt Cay,18
John Cuthbert,James Stuart,18
Henry Bolt Cay,Edward Hooper,18
William Hall,William Dixon,18
Henry Cavendish,Charleton Wollaston,18
Alexander Aubert,Robert Barker,18
Matthew Raper,Peter Daval,18
John Ross,Peter Newcome,18
James Stuart,William Heberden,18
Patrick Russell,Richard Kaye,18
Henry Bolt Cay,John Smeaton,18
Samuel Dyer,Joseph Warner,17
Samuel Clark,Joseph Warner,17
Samuel Dyer,William Russell,17
Alexander Aubert,John Darker,17
David Papillon,James Postlethwaite,17
Charles Blagden,Samuel Horsley,17
Alexander Dalrymple,Henry Bolt Cay,17
Jeremy Dyson,Samuel Squire,17
Charles Blagden,John Walsh,17
Charles Blagden,James Stuart,17
Isaac Hawkins-Brown,William Tempest,17
Samuel Clark,Richard Roderick,17
Samuel Hemming,Matthew Raper,17
Francis Fauquier,James Postlethwaite,17
Martin Folkes,Richard Graham,17
William Freeman,Josiah Colebrooke,17
