Meeting date,Dish giver,Dish name,Quantity
1758-04-20,Hugh Hume,pickled salmon,1
1758-06-22,Hugh Hume,pickled salmon,1
1758-07-27,Shaftesbury,haunch of venison,1
1758-08-03,William Heberden,haunch of venison,1
1758-08-31,Phillip York,haunch of venison,1
1758-08-31,Phillip York,neck of venison,1
1758-08-31,Phillip York,venison pasty,1
1758-10-12,John Hyde,turtle,1
1760-02-21,Hugh Hume,pickled salmon,1
1760-03-20,Hugh Hume,pickled salmon,1
1760-07-17,Hugh Hume,pickled salmon,1
1760-07-31,Shaftesbury,haunch of venison,1
1760-07-31,Shaftesbury,neck of venison,1
1760-07-31,Shaftesbury,venison pasty,1
1760-08-07,Phillip York,haunch of venison,1
1760-08-07,Phillip York,neck of venison,1
1760-08-07,Phillip York,venison pasty,1
1760-08-14,William Heberden,haunch of venison,1
1761-04-16,William Hanbury,chine of beef,1
1761-04-16,William Hanbury,brace of carp,1
1761-05-14,Hugh Hume,pickled salmon,2
1761-07-09,Phillip York,haunch of venison,1
1761-07-09,Phillip York,neck of venison,1
1761-07-09,Phillip York,venison pasty,1
1761-07-30,Shaftesbury,haunch of venison,1
1761-07-30,Shaftesbury,neck of venison,1
1761-08-20,William Heberden,haunch of venison,1
1761-10-01,Philip Miller,cantaloupe,1
1762-04-15,Hugh Hume,pickled salmon,1
1762-04-28,Hugh Hume,pickled salmon,1
1762-06-24,Phillip York,haunch of venison,1
1762-06-24,Phillip York,neck of venison,1
1762-06-24,Phillip York,venison pye,1
1762-07-01,Philip Miller,coss lettuces,3
1762-07-15,William Heberden,haunch of venison,1
1762-07-29,Shaftesbury,haunch of venison,1
1762-07-29,Shaftesbury,neck of venison,1
1762-11-04,Hugh Hume,pickled salmon,1
1762-11-11,Hugh Hume,pickled salmon,1
1762-11-18,Hugh Hume,pickled salmon,1
1763-04-14,Hugh Hume,pickled salmon,1
1763-04-21,Hugh Hume,pickled salmon,1
1763-04-28,Hugh Hume,pickled salmon,1
1763-07-14,Phillip York,haunch of venison,1
1763-07-14,Phillip York,neck of venison,1
1763-07-14,Phillip York,venison pasty,1
1763-07-14,James Douglas,melon,1
1763-07-14,James Douglas,pineapple,2
1763-07-14,James Douglas,cherry,1
